edge_u,edge_v,edge_key,accidentes_totales,severidad_total,muertos_totales,heridos_totales,accidentes_graves,distancia_prom_edge
31241221,31062254,0,2,0,0,0,0,3.5226627337502467
31241257,31062258,0,1,0,0,0,0,13.052161713116163
31241298,31241322,0,2,0,0,0,0,0.5675052521021012
31241305,5579846185,0,1,0,0,0,0,0.08921556126113016
31241306,274846899,0,3,3,0,1,0,0.9491456195293116
31241315,5385777821,0,2,3,0,1,0,2.392297772439454
31241322,268463309,0,3,0,0,0,0,3.999346748455263
31241338,30384721,0,1,0,0,0,0,3.884502570181082
31241379,10903777120,0,4,3,0,1,0,0.6663433480196804
31241384,31062103,0,1,0,0,0,0,7.837436174965681
31241464,5891441131,0,1,6,0,2,0,0.5386620929755607
31241498,31062251,0,1,3,0,1,0,0.11461103145442375
31319005,3779331112,0,2,0,0,0,0,3.9938487106885705
31319107,35341405,0,4,3,0,1,0,0.17305984004694414
31319108,49595920,0,3,6,0,2,0,4.993827254544093
31319110,35341409,0,6,6,0,2,0,1.5672630500490012
31319146,380231809,0,2,0,0,0,0,1.9213730766954957
31319146,1480994081,0,1,0,0,0,0,3.6447295445767898
